DateTime,Load,Hour,Day,DayYear,Month,Season
2019-01-01 00:00:00,356.80825,0,1,1,1,1
2019-01-01 01:00:00,356.98675,1,1,1,1,1
2019-01-01 02:00:00,349.788,2,1,1,1,1
2019-01-01 03:00:00,354.58500000000004,3,1,1,1,1
2019-01-01 04:00:00,352.79200000000003,4,1,1,1,1
2019-01-01 05:00:00,353.06925,5,1,1,1,1
2019-01-01 06:00:00,358.33975,6,1,1,1,1
2019-01-01 07:00:00,319.91724999999997,7,1,1,1,1
2019-01-01 08:00:00,309.1135,8,1,1,1,1
2019-01-01 09:00:00,303.62075,9,1,1,1,1
2019-01-01 10:00:00,304.6455,10,1,1,1,1
2019-01-01 11:00:00,297.593,11,1,1,1,1
2019-01-01 12:00:00,301.543,12,1,1,1,1
2019-01-01 13:00:00,308.32,13,1,1,1,1
2019-01-01 14:00:00,310.61375,14,1,1,1,1
2019-01-01 15:00:00,315.55525,15,1,1,1,1
2019-01-01 16:00:00,330.15075,16,1,1,1,1
2019-01-01 17:00:00,378.85075,17,1,1,1,1
2019-01-01 18:00:00,376.89825,18,1,1,1,1
2019-01-01 19:00:00,372.1845,19,1,1,1,1
2019-01-01 20:00:00,366.722,20,1,1,1,1
2019-01-01 21:00:00,367.352,21,1,1,1,1
2019-01-01 22:00:00,365.8165,22,1,1,1,1
2019-01-01 23:00:00,372.32775,23,1,1,1,1
2019-01-02 00:00:00,378.492,0,2,2,1,1
2019-01-02 01:00:00,375.808,1,2,2,1,1
2019-01-02 02:00:00,374.24674999999996,2,2,2,1,1
2019-01-02 03:00:00,373.3705,3,2,2,1,1
2019-01-02 04:00:00,376.43,4,2,2,1,1
2019-01-02 05:00:00,399.26649999999995,5,2,2,1,1
2019-01-02 06:00:00,453.41824999999994,6,2,2,1,1
2019-01-02 07:00:00,445.82725,7,2,2,1,1
2019-01-02 08:00:00,493.00575,8,2,2,1,1
2019-01-02 09:00:00,506.65324999999996,9,2,2,1,1
2019-01-02 10:00:00,506.39025,10,2,2,1,1
2019-01-02 11:00:00,522.3032499999999,11,2,2,1,1
2019-01-02 12:00:00,529.96925,12,2,2,1,1
2019-01-02 13:00:00,526.5045,13,2,2,1,1
2019-01-02 14:00:00,523.8050000000001,14,2,2,1,1
2019-01-02 15:00:00,515.60375,15,2,2,1,1
2019-01-02 16:00:00,519.5219999999999,16,2,2,1,1
2019-01-02 17:00:00,517.78375,17,2,2,1,1
2019-01-02 18:00:00,506.51725000000005,18,2,2,1,1
2019-01-02 19:00:00,504.23325,19,2,2,1,1
2019-01-02 20:00:00,483.73025,20,2,2,1,1
2019-01-02 21:00:00,471.57825,21,2,2,1,1
2019-01-02 22:00:00,447.50975,22,2,2,1,1
2019-01-02 23:00:00,403.4185,23,2,2,1,1
2019-01-03 00:00:00,384.45425,0,3,3,1,1
2019-01-03 01:00:00,391.49375,1,3,3,1,1
2019-01-03 02:00:00,393.2975,2,3,3,1,1
2019-01-03 03:00:00,387.553,3,3,3,1,1
2019-01-03 04:00:00,388.82925,4,3,3,1,1
2019-01-03 05:00:00,401.64175,5,3,3,1,1
2019-01-03 06:00:00,452.6435,6,3,3,1,1
2019-01-03 07:00:00,445.24275,7,3,3,1,1
2019-01-03 08:00:00,485.177,8,3,3,1,1
2019-01-03 09:00:00,504.10200000000003,9,3,3,1,1
2019-01-03 10:00:00,518.59975,10,3,3,1,1
2019-01-03 11:00:00,532.8177499999999,11,3,3,1,1
2019-01-03 12:00:00,530.6305,12,3,3,1,1
2019-01-03 13:00:00,522.819,13,3,3,1,1
2019-01-03 14:00:00,523.0745,14,3,3,1,1
2019-01-03 15:00:00,532.9775,15,3,3,1,1
2019-01-03 16:00:00,518.4817499999999,16,3,3,1,1
2019-01-03 17:00:00,532.94575,17,3,3,1,1
2019-01-03 18:00:00,523.69475,18,3,3,1,1
2019-01-03 19:00:00,511.24425,19,3,3,1,1
2019-01-03 20:00:00,498.24675,20,3,3,1,1
2019-01-03 21:00:00,472.21025,21,3,3,1,1
2019-01-03 22:00:00,450.70875,22,3,3,1,1
2019-01-03 23:00:00,400.553,23,3,3,1,1
2019-01-04 00:00:00,381.9625,0,4,4,1,1
2019-01-04 01:00:00,377.8595,1,4,4,1,1
2019-01-04 02:00:00,374.98475,2,4,4,1,1
2019-01-04 03:00:00,375.06149999999997,3,4,4,1,1
2019-01-04 04:00:00,375.28400000000005,4,4,4,1,1
2019-01-04 05:00:00,402.37750000000005,5,4,4,1,1
2019-01-04 06:00:00,451.1345,6,4,4,1,1
2019-01-04 07:00:00,452.4415,7,4,4,1,1
2019-01-04 08:00:00,480.35625,8,4,4,1,1
2019-01-04 09:00:00,519.2178351019927,9,4,4,1,1
2019-01-04 10:00:00,529.9767606119561,10,4,4,1,1
2019-01-04 11:00:00,537.0523811559171,11,4,4,1,1
2019-01-04 12:00:00,422.82500000000005,12,4,4,1,1
2019-01-04 13:00:00,418.553,13,4,4,1,1
2019-01-04 14:00:00,429.6405,14,4,4,1,1
2019-01-04 15:00:00,421.06624999999997,15,4,4,1,1
2019-01-04 16:00:00,418.14275000000004,16,4,4,1,1
2019-01-04 17:00:00,418.54550000000006,17,4,4,1,1
2019-01-04 18:00:00,411.96375,18,4,4,1,1
2019-01-04 19:00:00,413.712,19,4,4,1,1
2019-01-04 20:00:00,387.51375,20,4,4,1,1
2019-01-04 21:00:00,373.6255,21,4,4,1,1
2019-01-04 22:00:00,372.621,22,4,4,1,1
2019-01-04 23:00:00,339.51374999999996,23,4,4,1,1
2019-01-05 00:00:00,306.96625000000006,0,5,5,1,1
2019-01-05 01:00:00,309.793,1,5,5,1,1
2019-01-05 02:00:00,307.16875,2,5,5,1,1
2019-01-05 03:00:00,304.67325000000005,3,5,5,1,1
2019-01-05 04:00:00,304.055,4,5,5,1,1
2019-01-05 05:00:00,308.3885,5,5,5,1,1
2019-01-05 06:00:00,332.57124999999996,6,5,5,1,1
2019-01-05 07:00:00,316.1655,7,5,5,1,1
2019-01-05 08:00:00,329.6835,8,5,5,1,1
2019-01-05 09:00:00,332.39675,9,5,5,1,1
2019-01-05 10:00:00,331.60775,10,5,5,1,1
2019-01-05 11:00:00,337.8985,11,5,5,1,1
2019-01-05 12:00:00,342.72275,12,5,5,1,1
2019-01-05 13:00:00,362.96475,13,5,5,1,1
2019-01-05 14:00:00,369.568,14,5,5,1,1
2019-01-05 15:00:00,371.79425000000003,15,5,5,1,1
2019-01-05 16:00:00,392.15500000000003,16,5,5,1,1
2019-01-05 17:00:00,439.30075,17,5,5,1,1
2019-01-05 18:00:00,422.00125,18,5,5,1,1
2019-01-05 19:00:00,415.6275,19,5,5,1,1
2019-01-05 20:00:00,407.394,20,5,5,1,1
2019-01-05 21:00:00,386.7605,21,5,5,1,1
2019-01-05 22:00:00,382.455,22,5,5,1,1
2019-01-05 23:00:00,356.246,23,5,5,1,1
2019-01-06 00:00:00,349.67225,0,6,6,1,1
2019-01-06 01:00:00,341.53825,1,6,6,1,1
2019-01-06 02:00:00,334.80275,2,6,6,1,1
2019-01-06 03:00:00,326.4045,3,6,6,1,1
2019-01-06 04:00:00,327.056,4,6,6,1,1
2019-01-06 05:00:00,334.0865,5,6,6,1,1
2019-01-06 06:00:00,343.44925,6,6,6,1,1
2019-01-06 07:00:00,318.6485,7,6,6,1,1
2019-01-06 08:00:00,320.938,8,6,6,1,1
2019-01-06 09:00:00,335.6655,9,6,6,1,1
2019-01-06 10:00:00,331.549,10,6,6,1,1
2019-01-06 11:00:00,341.476,11,6,6,1,1
2019-01-06 12:00:00,349.83275000000003,12,6,6,1,1
2019-01-06 13:00:00,367.18475,13,6,6,1,1
2019-01-06 14:00:00,378.08,14,6,6,1,1
2019-01-06 15:00:00,380.29949999999997,15,6,6,1,1
2019-01-06 16:00:00,403.86075000000005,16,6,6,1,1
2019-01-06 17:00:00,443.18375000000003,17,6,6,1,1
2019-01-06 18:00:00,445.9225,18,6,6,1,1
2019-01-06 19:00:00,454.3755,19,6,6,1,1
2019-01-06 20:00:00,440.37949999999995,20,6,6,1,1
2019-01-06 21:00:00,435.82525,21,6,6,1,1
2019-01-06 22:00:00,426.474,22,6,6,1,1
2019-01-06 23:00:00,402.447,23,6,6,1,1
2019-01-07 00:00:00,387.096,0,7,7,1,1
2019-01-07 01:00:00,367.65525,1,7,7,1,1
2019-01-07 02:00:00,355.016,2,7,7,1,1
2019-01-07 03:00:00,349.1095,3,7,7,1,1
2019-01-07 04:00:00,346.68575,4,7,7,1,1
2019-01-07 05:00:00,368.61225,5,7,7,1,1
2019-01-07 06:00:00,421.60175,6,7,7,1,1
2019-01-07 07:00:00,428.39275,7,7,7,1,1
2019-01-07 08:00:00,486.4785,8,7,7,1,1
2019-01-07 09:00:00,540.54675,9,7,7,1,1
2019-01-07 10:00:00,570.078,10,7,7,1,1
2019-01-07 11:00:00,578.9725,11,7,7,1,1
2019-01-07 12:00:00,578.54125,12,7,7,1,1
2019-01-07 13:00:00,568.48775,13,7,7,1,1
2019-01-07 14:00:00,575.2627500000001,14,7,7,1,1
2019-01-07 15:00:00,580.611,15,7,7,1,1
2019-01-07 16:00:00,565.0174999999999,16,7,7,1,1
2019-01-07 17:00:00,594.9195,17,7,7,1,1
2019-01-07 18:00:00,593.569,18,7,7,1,1
2019-01-07 19:00:00,567.7752499999999,19,7,7,1,1
2019-01-07 20:00:00,548.8929999999999,20,7,7,1,1
2019-01-07 21:00:00,526.5095,21,7,7,1,1
2019-01-07 22:00:00,498.73524999999995,22,7,7,1,1
2019-01-07 23:00:00,433.1735,23,7,7,1,1
2019-01-08 00:00:00,386.29675,0,8,8,1,1
2019-01-08 01:00:00,359.66025,1,8,8,1,1
2019-01-08 02:00:00,348.5995,2,8,8,1,1
2019-01-08 03:00:00,350.74275,3,8,8,1,1
2019-01-08 04:00:00,354.63275,4,8,8,1,1
2019-01-08 05:00:00,381.396,5,8,8,1,1
2019-01-08 06:00:00,422.095,6,8,8,1,1
2019-01-08 07:00:00,420.859,7,8,8,1,1
2019-01-08 08:00:00,492.77875,8,8,8,1,1
2019-01-08 09:00:00,538.26225,9,8,8,1,1
2019-01-08 10:00:00,552.9195,10,8,8,1,1
2019-01-08 11:00:00,550.74325,11,8,8,1,1
2019-01-08 12:00:00,567.9947500000001,12,8,8,1,1
2019-01-08 13:00:00,565.71025,13,8,8,1,1
2019-01-08 14:00:00,586.7125,14,8,8,1,1
2019-01-08 15:00:00,574.1334999999999,15,8,8,1,1
2019-01-08 16:00:00,568.33325,16,8,8,1,1
2019-01-08 17:00:00,592.1637499999999,17,8,8,1,1
2019-01-08 18:00:00,588.56075,18,8,8,1,1
2019-01-08 19:00:00,568.319,19,8,8,1,1
2019-01-08 20:00:00,550.8665,20,8,8,1,1
2019-01-08 21:00:00,511.36275,21,8,8,1,1
2019-01-08 22:00:00,500.19575,22,8,8,1,1
2019-01-08 23:00:00,433.64349999999996,23,8,8,1,1
2019-01-09 00:00:00,383.3085,0,9,9,1,1
2019-01-09 01:00:00,366.17724999999996,1,9,9,1,1
2019-01-09 02:00:00,355.43775000000005,2,9,9,1,1
2019-01-09 03:00:00,345.413,3,9,9,1,1
2019-01-09 04:00:00,344.0565,4,9,9,1,1
2019-01-09 05:00:00,371.93825,5,9,9,1,1
2019-01-09 06:00:00,431.7165,6,9,9,1,1
2019-01-09 07:00:00,425.302,7,9,9,1,1
2019-01-09 08:00:00,484.84975,8,9,9,1,1
2019-01-09 09:00:00,549.2235,9,9,9,1,1
2019-01-09 10:00:00,568.675,10,9,9,1,1
2019-01-09 11:00:00,580.14075,11,9,9,1,1
2019-01-09 12:00:00,580.04475,12,9,9,1,1
2019-01-09 13:00:00,584.20975,13,9,9,1,1
2019-01-09 14:00:00,587.10475,14,9,9,1,1
2019-01-09 15:00:00,589.088,15,9,9,1,1
2019-01-09 16:00:00,565.2892499999999,16,9,9,1,1
2019-01-09 17:00:00,592.3435,17,9,9,1,1
2019-01-09 18:00:00,592.2439999999999,18,9,9,1,1
2019-01-09 19:00:00,575.0302499999999,19,9,9,1,1
2019-01-09 20:00:00,540.9209999999999,20,9,9,1,1
2019-01-09 21:00:00,500.34425,21,9,9,1,1
2019-01-09 22:00:00,494.092,22,9,9,1,1
2019-01-09 23:00:00,446.5805,23,9,9,1,1
2019-01-10 00:00:00,411.17650000000003,0,10,10,1,1
2019-01-10 01:00:00,380.7875,1,10,10,1,1
2019-01-10 02:00:00,360.78125,2,10,10,1,1
2019-01-10 03:00:00,359.90575,3,10,10,1,1
2019-01-10 04:00:00,364.85224999999997,4,10,10,1,1
2019-01-10 05:00:00,384.35575,5,10,10,1,1
2019-01-10 06:00:00,435.0635,6,10,10,1,1
2019-01-10 07:00:00,434.79925000000003,7,10,10,1,1
2019-01-10 08:00:00,482.8825,8,10,10,1,1
2019-01-10 09:00:00,534.7707499999999,9,10,10,1,1
2019-01-10 10:00:00,567.49325,10,10,10,1,1
2019-01-10 11:00:00,571.89825,11,10,10,1,1
2019-01-10 12:00:00,584.5605,12,10,10,1,1
2019-01-10 13:00:00,563.8757499999999,13,10,10,1,1
2019-01-10 14:00:00,575.3634999999999,14,10,10,1,1
2019-01-10 15:00:00,602.497,15,10,10,1,1
2019-01-10 16:00:00,584.96375,16,10,10,1,1
2019-01-10 17:00:00,612.3675000000001,17,10,10,1,1
2019-01-10 18:00:00,580.074,18,10,10,1,1
2019-01-10 19:00:00,564.3405,19,10,10,1,1
2019-01-10 20:00:00,539.05475,20,10,10,1,1
2019-01-10 21:00:00,504.48974999999996,21,10,10,1,1
2019-01-10 22:00:00,495.78,22,10,10,1,1
2019-01-10 23:00:00,427.9575,23,10,10,1,1
2019-01-11 00:00:00,401.80275,0,11,11,1,1
2019-01-11 01:00:00,369.894,1,11,11,1,1
2019-01-11 02:00:00,350.1465,2,11,11,1,1
2019-01-11 03:00:00,350.97275,3,11,11,1,1
2019-01-11 04:00:00,347.04075,4,11,11,1,1
2019-01-11 05:00:00,370.11474999999996,5,11,11,1,1
2019-01-11 06:00:00,424.12075,6,11,11,1,1
2019-01-11 07:00:00,415.3365,7,11,11,1,1
2019-01-11 08:00:00,475.459,8,11,11,1,1
2019-01-11 09:00:00,504.92524999999995,9,11,11,1,1
2019-01-11 10:00:00,534.67125,10,11,11,1,1
2019-01-11 11:00:00,559.72875,11,11,11,1,1
2019-01-11 12:00:00,545.64725,12,11,11,1,1
2019-01-11 13:00:00,570.786,13,11,11,1,1
2019-01-11 14:00:00,566.93725,14,11,11,1,1
2019-01-11 15:00:00,546.65325,15,11,11,1,1
2019-01-11 16:00:00,554.05825,16,11,11,1,1
2019-01-11 17:00:00,585.2067499999999,17,11,11,1,1
2019-01-11 18:00:00,567.385,18,11,11,1,1
2019-01-11 19:00:00,546.7860000000001,19,11,11,1,1
2019-01-11 20:00:00,520.932,20,11,11,1,1
2019-01-11 21:00:00,497.65874999999994,21,11,11,1,1
2019-01-11 22:00:00,474.373,22,11,11,1,1
2019-01-11 23:00:00,417.87,23,11,11,1,1
2019-01-12 00:00:00,389.1075,0,12,12,1,1
2019-01-12 01:00:00,368.23225,1,12,12,1,1
2019-01-12 02:00:00,342.754,2,12,12,1,1
2019-01-12 03:00:00,334.49525,3,12,12,1,1
2019-01-12 04:00:00,327.55475,4,12,12,1,1
2019-01-12 05:00:00,334.138,5,12,12,1,1
2019-01-12 06:00:00,341.23575,6,12,12,1,1
2019-01-12 07:00:00,341.857,7,12,12,1,1
2019-01-12 08:00:00,366.72525,8,12,12,1,1
2019-01-12 09:00:00,381.52625,9,12,12,1,1
2019-01-12 10:00:00,413.37875,10,12,12,1,1
2019-01-12 11:00:00,420.05725,11,12,12,1,1
2019-01-12 12:00:00,434.012,12,12,12,1,1
2019-01-12 13:00:00,438.67525,13,12,12,1,1
2019-01-12 14:00:00,439.09450000000004,14,12,12,1,1
2019-01-12 15:00:00,433.24275,15,12,12,1,1
2019-01-12 16:00:00,455.81,16,12,12,1,1
2019-01-12 17:00:00,484.82624999999996,17,12,12,1,1
2019-01-12 18:00:00,466.21524999999997,18,12,12,1,1
2019-01-12 19:00:00,463.83149999999995,19,12,12,1,1
2019-01-12 20:00:00,459.96774999999997,20,12,12,1,1
2019-01-12 21:00:00,435.39424999999994,21,12,12,1,1
2019-01-12 22:00:00,403.16175000000004,22,12,12,1,1
2019-01-12 23:00:00,382.579,23,12,12,1,1
2019-01-13 00:00:00,376.33375,0,13,13,1,1
2019-01-13 01:00:00,351.14075,1,13,13,1,1
2019-01-13 02:00:00,345.4895,2,13,13,1,1
2019-01-13 03:00:00,329.7205,3,13,13,1,1
2019-01-13 04:00:00,316.20725,4,13,13,1,1
2019-01-13 05:00:00,319.46175,5,13,13,1,1
2019-01-13 06:00:00,320.14675,6,13,13,1,1
2019-01-13 07:00:00,302.46275,7,13,13,1,1
2019-01-13 08:00:00,321.3515,8,13,13,1,1
2019-01-13 09:00:00,348.19675,9,13,13,1,1
2019-01-13 10:00:00,358.55475,10,13,13,1,1
2019-01-13 11:00:00,357.6785,11,13,13,1,1
2019-01-13 12:00:00,372.53450000000004,12,13,13,1,1
2019-01-13 13:00:00,386.1845,13,13,13,1,1
2019-01-13 14:00:00,404.59524999999996,14,13,13,1,1
2019-01-13 15:00:00,395.06475,15,13,13,1,1
2019-01-13 16:00:00,433.67525,16,13,13,1,1
2019-01-13 17:00:00,452.903,17,13,13,1,1
2019-01-13 18:00:00,462.7605,18,13,13,1,1
2019-01-13 19:00:00,464.89175,19,13,13,1,1
2019-01-13 20:00:00,449.21849999999995,20,13,13,1,1
2019-01-13 21:00:00,443.01925,21,13,13,1,1
2019-01-13 22:00:00,442.38575000000003,22,13,13,1,1
2019-01-13 23:00:00,418.4515,23,13,13,1,1
2019-01-14 00:00:00,415.70525,0,14,14,1,1
2019-01-14 01:00:00,385.90225000000004,1,14,14,1,1
2019-01-14 02:00:00,367.96175,2,14,14,1,1
2019-01-14 03:00:00,352.28325,3,14,14,1,1
2019-01-14 04:00:00,349.81525,4,14,14,1,1
2019-01-14 05:00:00,380.8245,5,14,14,1,1
2019-01-14 06:00:00,436.4575,6,14,14,1,1
2019-01-14 07:00:00,445.67375,7,14,14,1,1
2019-01-14 08:00:00,519.77375,8,14,14,1,1
2019-01-14 09:00:00,554.3362500000001,9,14,14,1,1
2019-01-14 10:00:00,584.48675,10,14,14,1,1
2019-01-14 11:00:00,618.42775,11,14,14,1,1
2019-01-14 12:00:00,646.036,12,14,14,1,1
2019-01-14 13:00:00,639.1485,13,14,14,1,1
2019-01-14 14:00:00,623.44625,14,14,14,1,1
2019-01-14 15:00:00,624.29725,15,14,14,1,1
2019-01-14 16:00:00,617.15325,16,14,14,1,1
2019-01-14 17:00:00,632.5554999999999,17,14,14,1,1
2019-01-14 18:00:00,613.4832499999999,18,14,14,1,1
2019-01-14 19:00:00,599.952,19,14,14,1,1
2019-01-14 20:00:00,556.316,20,14,14,1,1
2019-01-14 21:00:00,516.97325,21,14,14,1,1
2019-01-14 22:00:00,525.34525,22,14,14,1,1
2019-01-14 23:00:00,450.71225,23,14,14,1,1
2019-01-15 00:00:00,397.245,0,15,15,1,1
2019-01-15 01:00:00,384.50125,1,15,15,1,1
2019-01-15 02:00:00,359.15500000000003,2,15,15,1,1
2019-01-15 03:00:00,350.87800000000004,3,15,15,1,1
2019-01-15 04:00:00,346.39549999999997,4,15,15,1,1
2019-01-15 05:00:00,370.65450000000004,5,15,15,1,1
2019-01-15 06:00:00,434.2895,6,15,15,1,1
2019-01-15 07:00:00,451.1225,7,15,15,1,1
2019-01-15 08:00:00,506.4335,8,15,15,1,1
2019-01-15 09:00:00,548.8309999999999,9,15,15,1,1
2019-01-15 10:00:00,589.46975,10,15,15,1,1
2019-01-15 11:00:00,625.3199999999999,11,15,15,1,1
2019-01-15 12:00:00,631.251,12,15,15,1,1
2019-01-15 13:00:00,659.026,13,15,15,1,1
2019-01-15 14:00:00,654.98575,14,15,15,1,1
2019-01-15 15:00:00,646.888,15,15,15,1,1
2019-01-15 16:00:00,636.64,16,15,15,1,1
2019-01-15 17:00:00,645.1019999999999,17,15,15,1,1
2019-01-15 18:00:00,610.52775,18,15,15,1,1
2019-01-15 19:00:00,612.16825,19,15,15,1,1
2019-01-15 20:00:00,567.7282499999999,20,15,15,1,1
2019-01-15 21:00:00,541.81025,21,15,15,1,1
2019-01-15 22:00:00,545.66975,22,15,15,1,1
2019-01-15 23:00:00,465.4504999999999,23,15,15,1,1
2019-01-16 00:00:00,400.76300000000003,0,16,16,1,1
2019-01-16 01:00:00,382.79,1,16,16,1,1
2019-01-16 02:00:00,362.22875,2,16,16,1,1
2019-01-16 03:00:00,359.35725,3,16,16,1,1
2019-01-16 04:00:00,355.924,4,16,16,1,1
2019-01-16 05:00:00,378.00375,5,16,16,1,1
2019-01-16 06:00:00,440.8215,6,16,16,1,1
2019-01-16 07:00:00,460.58,7,16,16,1,1
2019-01-16 08:00:00,500.52025,8,16,16,1,1
2019-01-16 09:00:00,556.9245,9,16,16,1,1
2019-01-16 10:00:00,592.85525,10,16,16,1,1
2019-01-16 11:00:00,612.34475,11,16,16,1,1
2019-01-16 12:00:00,639.586,12,16,16,1,1
2019-01-16 13:00:00,628.9655,13,16,16,1,1
2019-01-16 14:00:00,606.58475,14,16,16,1,1
2019-01-16 15:00:00,605.1685,15,16,16,1,1
2019-01-16 16:00:00,602.0977499999999,16,16,16,1,1
2019-01-16 17:00:00,622.8874999999999,17,16,16,1,1
2019-01-16 18:00:00,603.3019999999999,18,16,16,1,1
2019-01-16 19:00:00,584.662,19,16,16,1,1
2019-01-16 20:00:00,548.1129999999999,20,16,16,1,1
2019-01-16 21:00:00,533.0395,21,16,16,1,1
2019-01-16 22:00:00,510.75075,22,16,16,1,1
2019-01-16 23:00:00,444.68275,23,16,16,1,1
2019-01-17 00:00:00,407.17525,0,17,17,1,1
2019-01-17 01:00:00,396.10675000000003,1,17,17,1,1
2019-01-17 02:00:00,361.58975,2,17,17,1,1
2019-01-17 03:00:00,355.1125,3,17,17,1,1
2019-01-17 04:00:00,352.98800000000006,4,17,17,1,1
2019-01-17 05:00:00,376.8905,5,17,17,1,1
2019-01-17 06:00:00,442.05475,6,17,17,1,1
2019-01-17 07:00:00,450.7065,7,17,17,1,1
2019-01-17 08:00:00,499.33675,8,17,17,1,1
2019-01-17 09:00:00,550.97825,9,17,17,1,1
2019-01-17 10:00:00,598.35575,10,17,17,1,1
2019-01-17 11:00:00,628.271,11,17,17,1,1
2019-01-17 12:00:00,624.12475,12,17,17,1,1
2019-01-17 13:00:00,640.1965,13,17,17,1,1
2019-01-17 14:00:00,641.49925,14,17,17,1,1
2019-01-17 15:00:00,639.89825,15,17,17,1,1
2019-01-17 16:00:00,628.43525,16,17,17,1,1
2019-01-17 17:00:00,629.71875,17,17,17,1,1
2019-01-17 18:00:00,643.9045,18,17,17,1,1
2019-01-17 19:00:00,628.1479999999999,19,17,17,1,1
2019-01-17 20:00:00,594.78825,20,17,17,1,1
2019-01-17 21:00:00,552.2445,21,17,17,1,1
2019-01-17 22:00:00,541.4739999999999,22,17,17,1,1
2019-01-17 23:00:00,464.03225,23,17,17,1,1
2019-01-18 00:00:00,430.04775000000006,0,18,18,1,1
2019-01-18 01:00:00,391.5875,1,18,18,1,1
