DateTime,RealPower (kW),Hour,Day,DayYear,Month,Season
2019-01-01 00:00:00,0.0815,0,1,1,1,1
2019-01-01 01:00:00,0.077,1,1,1,1,1
2019-01-01 02:00:00,0.07875,2,1,1,1,1
2019-01-01 03:00:00,0.08025,3,1,1,1,1
2019-01-01 04:00:00,0.0745,4,1,1,1,1
2019-01-01 05:00:00,0.055249999999999994,5,1,1,1,1
2019-01-01 06:00:00,2.6369999999999996,6,1,1,1,1
2019-01-01 07:00:00,44.37825,7,1,1,1,1
2019-01-01 08:00:00,138.35275000000001,8,1,1,1,1
2019-01-01 09:00:00,236.40025,9,1,1,1,1
2019-01-01 10:00:00,284.1855,10,1,1,1,1
2019-01-01 11:00:00,296.53375,11,1,1,1,1
2019-01-01 12:00:00,273.20225,12,1,1,1,1
2019-01-01 13:00:00,219.10775,13,1,1,1,1
2019-01-01 14:00:00,126.725,14,1,1,1,1
2019-01-01 15:00:00,31.40275,15,1,1,1,1
2019-01-01 16:00:00,0.995,16,1,1,1,1
2019-01-01 17:00:00,0.009000000000000008,17,1,1,1,1
2019-01-01 18:00:00,0.07050000000000001,18,1,1,1,1
2019-01-01 19:00:00,0.0755,19,1,1,1,1
2019-01-01 20:00:00,0.0755,20,1,1,1,1
2019-01-01 21:00:00,0.07325,21,1,1,1,1
2019-01-01 22:00:00,0.07525,22,1,1,1,1
2019-01-01 23:00:00,0.08025,23,1,1,1,1
2019-01-02 00:00:00,0.08,0,2,2,1,1
2019-01-02 01:00:00,0.08025,1,2,2,1,1
2019-01-02 02:00:00,0.0805,2,2,2,1,1
2019-01-02 03:00:00,0.079,3,2,2,1,1
2019-01-02 04:00:00,0.0765,4,2,2,1,1
2019-01-02 05:00:00,0.059750000000000004,5,2,2,1,1
2019-01-02 06:00:00,2.64125,6,2,2,1,1
2019-01-02 07:00:00,43.8565,7,2,2,1,1
2019-01-02 08:00:00,135.81449999999998,8,2,2,1,1
2019-01-02 09:00:00,231.227,9,2,2,1,1
2019-01-02 10:00:00,275.51550000000003,10,2,2,1,1
2019-01-02 11:00:00,289.065,11,2,2,1,1
2019-01-02 12:00:00,268.03825,12,2,2,1,1
2019-01-02 13:00:00,215.67575,13,2,2,1,1
2019-01-02 14:00:00,125.78575,14,2,2,1,1
2019-01-02 15:00:00,31.682,15,2,2,1,1
2019-01-02 16:00:00,1.14825,16,2,2,1,1
2019-01-02 17:00:00,0.009499999999999998,17,2,2,1,1
2019-01-02 18:00:00,0.07625,18,2,2,1,1
2019-01-02 19:00:00,0.07525,19,2,2,1,1
2019-01-02 20:00:00,0.07025,20,2,2,1,1
2019-01-02 21:00:00,0.07125000000000001,21,2,2,1,1
2019-01-02 22:00:00,0.06725,22,2,2,1,1
