Date and time,Power (kW),Wind speed (m/s),Ambient temperature (converter) (°C),Hour,Day,DayYear,Month,Season
2024-01-01 00:00:00,89.57342922781537,4.377310025224306,6.811638163160884,0,1,1,1,1
2024-01-01 01:00:00,163.2855855523926,5.192833717710357,6.902581270245287,1,1,1,1,1
2024-01-01 02:00:00,129.66511826232193,4.692900746414907,7.0720433445718855,2,1,1,1,1
2024-01-01 03:00:00,29.144792581913812,3.213865080269079,7.396559938522168,3,1,1,1,1
2024-01-01 04:00:00,3.0431824725283967,2.9547964619968585,7.341558077708709,4,1,1,1,1
2024-01-01 05:00:00,339.61570232109864,5.87958044884313,6.972121926405809,5,1,1,1,1
2024-01-01 06:00:00,202.53339724409489,5.342385251362939,6.774783379820856,6,1,1,1,1
2024-01-01 07:00:00,464.35300636476705,6.642723382673078,6.279771377255668,7,1,1,1,1
2024-01-01 08:00:00,735.2238310870374,7.739124656646186,5.846958557231197,8,1,1,1,1
2024-01-01 09:00:00,373.1328526471341,6.351781244695353,6.337042934827096,9,1,1,1,1
2024-01-01 10:00:00,279.8233293626697,5.846310855696498,7.203309861149132,10,1,1,1,1
2024-01-01 11:00:00,417.9816326348793,6.602066268337429,8.07865915711391,11,1,1,1,1
2024-01-01 12:00:00,575.9991473628627,7.291516109612841,8.868149378187473,12,1,1,1,1
2024-01-01 13:00:00,405.65509931095596,6.513183656428038,9.325775104695063,13,1,1,1,1
2024-01-01 14:00:00,239.63437376800675,5.603766455315343,9.305304571591602,14,1,1,1,1
2024-01-01 15:00:00,133.4578646524185,4.806828602784583,8.336906821392324,15,1,1,1,1
2024-01-01 16:00:00,127.74227837535595,4.670211735557144,7.279149183520852,16,1,1,1,1
2024-01-01 17:00:00,304.2368623813256,5.851709447820975,6.045691135565493,17,1,1,1,1
2024-01-01 18:00:00,102.95390562331897,4.4437100185808145,5.594344714273323,18,1,1,1,1
2024-01-01 19:00:00,524.676845268911,6.72847619915311,5.077803610013251,19,1,1,1,1
2024-01-01 20:00:00,1155.0831066388962,8.866095337380685,4.548831923539177,20,1,1,1,1
2024-01-01 21:00:00,1364.0296752998593,9.648594713755386,4.76257695198385,21,1,1,1,1
2024-01-01 22:00:00,1554.0604242713614,10.41089755709358,5.41814993641203,22,1,1,1,1
2024-01-01 23:00:00,1669.4748962999583,11.29629542973172,6.30880936453981,23,1,1,1,1
2024-01-02 00:00:00,1834.28003776782,12.0577711027843,6.498231069182009,0,2,2,1,1
2024-01-02 01:00:00,1796.7848881730042,12.122001520289537,7.004189534975256,1,2,2,1,1
2024-01-02 02:00:00,1822.6377161667583,12.278210822256039,7.2114063796078,2,2,2,1,1
2024-01-02 03:00:00,1782.6966743475775,11.875297346258229,7.570702195606178,3,2,2,1,1
2024-01-02 04:00:00,1734.2658032745596,11.68581257483142,7.987178988966717,4,2,2,1,1
2024-01-02 05:00:00,1155.1155791893982,9.283511058346196,8.688637866219825,5,2,2,1,1
2024-01-02 06:00:00,284.5372936915434,5.713910642633197,9.777390845181221,6,2,2,1,1
2024-01-02 07:00:00,51.094874810528104,3.6697563089005194,9.411875769944652,7,2,2,1,1
2024-01-02 08:00:00,157.90800543893647,4.757208337633256,8.648213479414906,8,2,2,1,1
2024-01-02 09:00:00,51.96877742488956,4.231558771121453,8.46439773817477,9,2,2,1,1
2024-01-02 10:00:00,97.82398889923357,4.535748675736106,8.675282381026253,10,2,2,1,1
2024-01-02 11:00:00,104.21296549064917,4.476601731853794,8.628485616032268,11,2,2,1,1
2024-01-02 12:00:00,210.2969684479693,5.267725683366598,8.739092412526917,12,2,2,1,1
2024-01-02 13:00:00,148.6873406892974,4.922458373717331,9.268925152801353,13,2,2,1,1
2024-01-02 14:00:00,139.0938698666984,4.7716212195850645,9.479771076488522,14,2,2,1,1
2024-01-02 15:00:00,73.34794800131885,4.1291694620312756,9.460732992607243,15,2,2,1,1
2024-01-02 16:00:00,41.30142285588619,3.802279457469532,9.304722784345609,16,2,2,1,1
2024-01-02 17:00:00,78.7198854648538,4.242718106123258,9.256599028358899,17,2,2,1,1
2024-01-02 18:00:00,48.68549868088502,3.924142222202794,9.318677088173283,18,2,2,1,1
2024-01-02 19:00:00,12.988433132869798,3.6733559628201293,9.290805273199064,19,2,2,1,1
2024-01-02 20:00:00,30.99145886311869,3.6595176309988973,9.377125826904102,20,2,2,1,1
2024-01-02 21:00:00,78.25450132088947,4.295560814593195,9.319386229557605,21,2,2,1,1
2024-01-02 22:00:00,143.71527527995363,4.799116090021949,9.048560761582262,22,2,2,1,1
2024-01-02 23:00:00,105.8608797954374,4.558236602595256,8.941231347017299,23,2,2,1,1
2024-01-03 00:00:00,28.6325372286113,3.8108664513857122,8.994827686518153,0,3,3,1,1
2024-01-03 01:00:00,-0.04549774246873941,3.2205826407702753,9.019112984819937,1,3,3,1,1
2024-01-03 02:00:00,-1.4427304795158178,2.187990714887447,9.1438066696021,2,3,3,1,1
2024-01-03 03:00:00,-1.6969386731747877,2.4023544604243487,9.214766577665463,3,3,3,1,1
2024-01-03 04:00:00,-1.2373317154800478,2.101066965267708,9.243911255822729,4,3,3,1,1
2024-01-03 05:00:00,-1.6255724980070927,2.062530883269099,9.156820781083026,5,3,3,1,1
2024-01-03 06:00:00,-1.2675287263199357,2.150768507637764,9.07289335611386,6,3,3,1,1
2024-01-03 07:00:00,-1.2453678594911934,1.571017496997592,9.225153192041072,7,3,3,1,1
2024-01-03 08:00:00,-1.5288905301188431,1.9597672598618523,9.114932710406228,8,3,3,1,1
2024-01-03 09:00:00,-1.8934136040737908,2.548579313415474,8.985888553096046,9,3,3,1,1
2024-01-03 10:00:00,0.7344746262050096,3.0617284758357086,8.890546987325347,10,3,3,1,1
2024-01-03 11:00:00,1.2402244467701753,2.425738332214123,9.0595470515305,11,3,3,1,1
2024-01-03 12:00:00,-1.0914935232585417,0.983586403689776,9.518900056307453,12,3,3,1,1
2024-01-03 13:00:00,-1.3636553173939316,2.050509851498483,9.8343528143672,13,3,3,1,1
2024-01-03 14:00:00,-1.5008912883662306,2.3907506026223095,9.88046452742018,14,3,3,1,1
2024-01-03 15:00:00,-1.966767605520794,2.467812267291335,9.614415439400835,15,3,3,1,1
2024-01-03 16:00:00,4.88085149702608,3.1599943016601424,9.303170377890869,16,3,3,1,1
2024-01-03 17:00:00,48.31622113894686,3.9918552787222077,8.92639370521896,17,3,3,1,1
2024-01-03 18:00:00,41.059123561605965,4.016959538521384,8.816723710154193,18,3,3,1,1
2024-01-03 19:00:00,25.53456540313858,3.834493373986716,8.755500368760229,19,3,3,1,1
2024-01-03 20:00:00,55.46503980093506,4.313160497966549,8.702578128648565,20,3,3,1,1
2024-01-03 21:00:00,93.99874185271169,4.373153719873988,8.541125857673752,21,3,3,1,1
2024-01-03 22:00:00,84.7353908254526,4.249272341193855,8.486992712567071,22,3,3,1,1
2024-01-03 23:00:00,55.4587007719952,4.029767540223979,8.484943571382345,23,3,3,1,1
2024-01-04 00:00:00,57.75197766613896,4.051684150402691,8.331336846550865,0,4,4,1,1
2024-01-04 01:00:00,98.89868116677357,4.372401941507258,8.273270439912455,1,4,4,1,1
